feature_idx,importance
702,0.0420125
703,0.05421156
704,0.04852921
705,0.070400335
706,0.07258239
707,0.062221464
708,0.060611635
709,0.06363847
710,0.03423173
711,0.04461566
712,0.073597215
713,0.05838941
714,0.06781457
715,0.048660573
716,0.03657504
717,0.05479019
718,0.056620162
719,0.035037044
720,0.051889166
721,0.0390997
722,0.048585698
723,0.05379615
724,0.06188947
725,0.04318871
726,0.038228057
727,0.05436935
728,0.08574234
729,0.047792096
730,0.057259466
731,0.082984746
732,0.06792158
733,0.048838086
734,0.046104416
735,0.04961603
736,0.03425929
737,0.09016138
738,0.05401877
739,0.061325163
740,0.047391135
741,0.03685436
742,0.043336257
743,0.06230277
744,0.06859331
745,0.041710652
746,0.086701006
747,0.056939397
748,0.081196465
749,0.067384325
750,0.04632004
751,0.037465867
752,0.07612895
753,0.12246181
754,0.050721772
755,0.055770487
756,0.042529296
757,0.057639133
758,0.057661597
759,0.10735236
760,0.047451265
761,0.053056907
762,0.0541976
763,0.0756613
764,0.05927238
765,0.046159063
766,0.050942898
767,0.04316405
768,0.055971984
769,0.046550702
770,0.056032646
771,0.055053443
772,0.06298976
773,0.05125869
774,0.03913136
775,0.049872022
776,0.07719401
777,0.072990105
778,0.051995367
779,0.06387358
780,0.053399485
781,0.0637492
782,0.04800231
783,0.05007966
784,0.048392627
785,0.042943478
786,0.057792213
787,0.04503406
788,0.035865948
789,0.06326372
790,0.053867858
791,0.068464644
792,0.052511565
793,0.0381676
794,0.07029345
795,0.04652452
796,0.062363055
797,0.046031162
798,0.08016527
799,0.04284584
800,0.039333604
801,0.07250011
802,0.0684208
803,0.05095933
804,0.07013232
805,0.049442254
806,0.08130974
807,0.043006342
808,0.057169557
809,0.044191837
810,0.04926769
811,0.049425963
812,0.049727388
813,0.060529094
814,0.054766644
815,0.08482089
816,0.050250147
817,0.06049139
818,0.09537403
819,0.08379336
820,0.068655714
821,0.053675987
822,0.039259166
823,0.059413627
824,0.07686508
825,0.06304884
826,0.06351083
827,0.048224613
828,0.054888032
829,0.052644588
830,0.07057705
831,0.05841911
832,0.060848646
833,0.06329216
834,0.049939
835,0.046639252
836,0.06366079
837,0.033815965
838,0.06006325
839,0.03800611
840,0.0569808
841,0.049420908
842,0.05682864
843,0.037410084
844,0.059931587
845,0.07115067
846,0.06160063
847,0.06636631
848,0.088172056
849,0.066315025
850,0.04876146
851,0.08397122
852,0.072701894
853,0.043777037
854,0.06465081
855,0.0438444
856,0.038170643
857,0.071564086
858,0.04389634
859,0.045468327
860,0.0817314
861,0.039282642
862,0.06003562
863,0.06251608
864,0.04369886
865,0.05116387
866,0.08170602
867,0.030786604
868,0.061422836
869,0.038422093
870,0.05775187
871,0.086096086
872,0.043667816
873,0.043329738
874,0.06513176
875,0.08699186
876,0.07044022
877,0.050433457
878,0.10077876
879,0.055682015
880,0.067996986
881,0.06460217
882,0.07618889
883,0.03747201
884,0.05244652
885,0.07172126
886,0.048586506
887,0.056785807
888,0.04918881
889,0.05356245
890,0.10180916
891,0.05298812
892,0.0533384
893,0.05986488
894,0.03819854
895,0.04826082
896,0.040964995
897,0.058240224
898,0.059570607
899,0.045702904
900,0.044880252
901,0.048004083
902,0.06362029
903,0.06716831
904,0.030598108
905,0.044000603
906,0.04396052
907,0.06101317
908,0.23063996
909,0.086997524
910,0.047760863
911,0.060123272
912,0.05862522
913,0.05208582
914,0.07156636
915,0.04949631
916,0.04728316
917,0.07000424
918,0.07169764
919,0.058623135
920,0.08174588
921,0.05450818
922,0.047215156
923,0.035828657
924,0.06216839
925,0.059943587
926,0.03736736
927,0.030263484
928,0.072198845
929,0.04083899
930,0.0682438
931,0.07590309
932,0.038473506
933,0.042520337
934,0.09706711
935,0.056663267
936,0.058204997
